market_hash_name,currency,min_price,max_price,mean_price,median_price,quantity_sold,source
10 Year Birthday Sticker Capsule,USD,0.79,4.75,1.9,1.55,201,skinport
1st Lieutenant Farlow | SWAT,USD,15.82,64.55,30.89,26.3,85,skinport
2020 RMR Challengers,USD,0.38,7.04,1.48,0.63,372,skinport
2020 RMR Contenders,USD,0.39,3.61,0.74,0.66,577,skinport
2020 RMR Legends,USD,0.31,4.69,1.42,0.57,425,skinport
2021 Community Sticker Capsule,USD,1.67,2.35,1.87,1.87,11,skinport
3rd Commando Company | KSK,USD,16.36,961.07,34.78,29.32,274,skinport
Aces High Pin,USD,9.25,25.6,13.86,13.64,19,skinport
AK-47 | Aphrodite (Battle-Scarred),USD,21.86,234.45,55.41,34.84,33,skinport
AK-47 | Aphrodite (Factory New),USD,449.73,1642.85,754.69,585.56,19,skinport
AK-47 | Aphrodite (Field-Tested),USD,26.5,307.25,62.56,46.94,115,skinport
AK-47 | Aphrodite (Minimal Wear),USD,50.26,1056.12,144.01,85.89,74,skinport
AK-47 | Aphrodite (Well-Worn),USD,22.2,152.54,47.45,31.67,52,skinport
AK-47 | Aquamarine Revenge (Battle-Scarred),USD,42.41,88.01,61.9,48.28,5,skinport
AK-47 | Aquamarine Revenge (Factory New),USD,285.32,1035.14,458.87,371.96,30,skinport
AK-47 | Aquamarine Revenge (Field-Tested),USD,44.31,286.9,63.11,52.63,71,skinport
AK-47 | Aquamarine Revenge (Minimal Wear),USD,76.28,4712.6,176.2,93.3,80,skinport
AK-47 | Aquamarine Revenge (Well-Worn),USD,41.32,99.02,59.81,45.32,7,skinport
AK-47 | Asiimov (Battle-Scarred),USD,41.6,117.33,53.03,46.14,21,skinport
AK-47 | Asiimov (Factory New),USD,770.93,1114.79,896.5,808.52,13,skinport
AK-47 | Asiimov (Field-Tested),USD,44.77,19749.41,132.05,51.2,273,skinport
AK-47 | Asiimov (Minimal Wear),USD,59.71,3776.8,118.29,70.4,121,skinport
AK-47 | Asiimov (Well-Worn),USD,45.48,64.55,49.79,48.58,17,skinport
AK-47 | Baroque Purple (Battle-Scarred),USD,5.9,18.63,9.52,8.65,18,skinport
AK-47 | Baroque Purple (Factory New),USD,141.75,1566.02,275.92,179.6,18,skinport
AK-47 | Baroque Purple (Field-Tested),USD,7.62,46.93,10.54,9.59,43,skinport
AK-47 | Baroque Purple (Minimal Wear),USD,19.06,58.67,27.71,23.01,23,skinport
AK-47 | Baroque Purple (Well-Worn),USD,6.32,17.48,9.05,8.47,15,skinport
AK-47 | Black Laminate (Battle-Scarred),USD,83.34,84.04,83.69,83.69,2,skinport
AK-47 | Black Laminate (Factory New),USD,442.94,442.94,442.94,442.94,1,skinport
AK-47 | Black Laminate (Field-Tested),USD,38.91,3937.81,355.96,80.85,26,skinport
AK-47 | Black Laminate (Minimal Wear),USD,118.74,1461.69,285.55,198.34,18,skinport
AK-47 | Black Laminate (Well-Worn),USD,56.44,2760.28,524.1,146.1,8,skinport
AK-47 | Bloodsport (Factory New),USD,216.07,704.08,294.87,269.81,114,skinport
AK-47 | Bloodsport (Field-Tested),USD,142.01,586.73,199.75,181.89,65,skinport
AK-47 | Bloodsport (Minimal Wear),USD,174.44,479.48,234.25,206.99,78,skinport
AK-47 | Bloodsport (Well-Worn),USD,155.47,228.3,184.96,178.04,4,skinport
AK-47 | Blue Laminate (Factory New),USD,64.54,2324.09,333.3,173.09,105,skinport
AK-47 | Blue Laminate (Field-Tested),USD,19.8,8666.04,329.56,88.82,85,skinport
AK-47 | Blue Laminate (Minimal Wear),USD,21.17,2200.11,174.61,63.25,111,skinport
AK-47 | Blue Laminate (Well-Worn),USD,26.25,152.55,54.3,31.4,5,skinport
AK-47 | Breakthrough (Battle-Scarred),USD,5.28,8.5,7.52,8.21,5,skinport
AK-47 | Breakthrough (Factory New),USD,31.62,65.44,40.86,38.17,37,skinport
AK-47 | Breakthrough (Field-Tested),USD,5.52,19.61,9.15,8.07,153,skinport
AK-47 | Breakthrough (Minimal Wear),USD,12.91,481.24,26.49,16.25,71,skinport
AK-47 | Breakthrough (Well-Worn),USD,18.76,18.76,18.76,18.76,1,skinport
AK-47 | B the Monster (Battle-Scarred),USD,117.73,2422.23,392.96,158.59,13,skinport
AK-47 | B the Monster (Factory New),USD,1479.41,3051.01,2177.9,1979.45,12,skinport
AK-47 | B the Monster (Field-Tested),USD,274.66,11173.59,645.99,362.69,58,skinport
AK-47 | B the Monster (Minimal Wear),USD,492.86,3520.39,950.47,809.69,43,skinport
AK-47 | B the Monster (Well-Worn),USD,231.06,276.82,259.7,265.46,4,skinport
AK-47 | Cartel (Battle-Scarred),USD,22.14,41.07,30.98,29.9,13,skinport
AK-47 | Cartel (Factory New),USD,107.88,324.79,153.16,129.35,25,skinport
AK-47 | Cartel (Field-Tested),USD,19.24,1097.19,105.66,38.91,38,skinport
AK-47 | Cartel (Minimal Wear),USD,26.27,666.82,96.71,55.74,46,skinport
AK-47 | Cartel (Well-Worn),USD,27.14,49.04,41.74,49.03,3,skinport
AK-47 | Case Hardened (Battle-Scarred),USD,199.48,870.52,389.45,269.86,17,skinport
AK-47 | Case Hardened (Factory New),USD,1077.1,7169.01,1966.36,1230.61,9,skinport
AK-47 | Case Hardened (Field-Tested),USD,224.99,5325.55,467.61,335.74,68,skinport
AK-47 | Case Hardened (Minimal Wear),USD,285.68,11381.57,800.8,418.42,63,skinport
AK-47 | Case Hardened (Well-Worn),USD,195.93,1107.34,346.42,303.56,25,skinport
AK-47 | Crane Flight (Battle-Scarred),USD,23.47,30.51,26.99,26.99,2,skinport
AK-47 | Crane Flight (Factory New),USD,256.04,267.55,261.8,261.8,2,skinport
AK-47 | Crane Flight (Field-Tested),USD,56.33,586.73,190.69,74.9,7,skinport
AK-47 | Crane Flight (Minimal Wear),USD,99.83,293.37,137.64,117.35,13,skinport
AK-47 | Crane Flight (Well-Worn),USD,72.66,72.66,72.66,72.66,1,skinport
AK-47 | Crossfade (Battle-Scarred),USD,4.44,4.45,4.45,4.45,4,skinport
AK-47 | Crossfade (Factory New),USD,8.99,543.17,32.72,23.47,167,skinport
AK-47 | Crossfade (Field-Tested),USD,2.71,277.04,15.81,4.22,95,skinport
AK-47 | Crossfade (Minimal Wear),USD,4.89,198.39,19.73,9.27,56,skinport
AK-47 | Crossfade (Well-Worn),USD,3.29,11.1,6.52,6.04,11,skinport
AK-47 | Elite Build (Battle-Scarred),USD,2.01,130.55,10.64,3.05,108,skinport
AK-47 | Elite Build (Factory New),USD,15.11,233.52,33.67,19.95,86,skinport
AK-47 | Elite Build (Field-Tested),USD,2.41,281.64,17.72,5.82,146,skinport
