market_hash_name,currency,min_price,max_price,mean_price,median_price,quantity_sold,source,scraped_at
AK-47 | Crane Flight (Field-Tested),USD,33.23,33.23,33.23,33.23,288,steam_market,2026-04-25T14:17:47.540091+00:00
AK-47 | Crane Flight (Minimal Wear),USD,62.0,62.0,62.0,62.0,226,steam_market,2026-04-25T14:17:47.540091+00:00
M4A1-S | Black Lotus (Field-Tested),USD,8.35,8.35,8.35,8.35,2240,steam_market,2026-04-25T14:17:47.540091+00:00
AK-47 | Inheritance (Field-Tested),USD,66.33,66.33,66.33,66.33,551,steam_market,2026-04-25T14:17:47.540091+00:00
M4A1-S | Party Animal (Factory New),USD,113.71,113.71,113.71,113.71,76,steam_market,2026-04-25T14:17:47.540091+00:00
AK-47 | Ice Coaled (Field-Tested),USD,7.33,7.33,7.33,7.33,2313,steam_market,2026-04-25T14:17:47.540091+00:00
FAMAS | Bad Trip (Field-Tested),USD,70.0,70.0,70.0,70.0,126,steam_market,2026-04-25T14:17:47.540091+00:00
AK-47 | Olive Polycam (Factory New),USD,1.15,1.15,1.15,1.15,8845,steam_market,2026-04-25T14:17:47.540091+00:00
AK-47 | Asiimov (Field-Tested),USD,62.81,62.81,62.81,62.81,325,steam_market,2026-04-25T14:17:47.540091+00:00
M4A1-S | Flashback (Factory New),USD,75.3,75.3,75.3,75.3,16,steam_market,2026-04-25T14:17:47.540091+00:00
AK-47 | Searing Rage (Field-Tested),USD,7.76,7.76,7.76,7.76,967,steam_market,2026-04-25T14:17:49.901477+00:00
AK-47 | Ice Coaled (Minimal Wear),USD,12.15,12.15,12.15,12.15,1088,steam_market,2026-04-25T14:17:49.901477+00:00
AK-47 | Nightwish (Minimal Wear),USD,117.13,117.13,117.13,117.13,157,steam_market,2026-04-25T14:17:49.901477+00:00
AK-47 | Slate (Field-Tested),USD,6.74,6.74,6.74,6.74,3203,steam_market,2026-04-25T14:17:49.901477+00:00
M4A1-S | Solitude (Field-Tested),USD,2.83,2.83,2.83,2.83,6402,steam_market,2026-04-25T14:17:49.901477+00:00
M4A4 | Temukau (Field-Tested),USD,49.35,49.35,49.35,49.35,315,steam_market,2026-04-25T14:17:49.901477+00:00
AK-47 | Slate (Minimal Wear),USD,10.64,10.64,10.64,10.64,1126,steam_market,2026-04-25T14:17:49.901477+00:00
M4A1-S | Party Animal (Field-Tested),USD,19.55,19.55,19.55,19.55,238,steam_market,2026-04-25T14:17:49.901477+00:00
M4A1-S | Black Lotus (Minimal Wear),USD,12.05,12.05,12.05,12.05,861,steam_market,2026-04-25T14:17:49.901477+00:00
AK-47 | Crane Flight (Well-Worn),USD,28.55,28.55,28.55,28.55,217,steam_market,2026-04-25T14:17:49.901477+00:00
AK-47 | Phantom Disruptor (Field-Tested),USD,8.59,8.59,8.59,8.59,967,steam_market,2026-04-25T14:17:52.774470+00:00
AK-47 | Midnight Laminate (Field-Tested),USD,6.98,6.98,6.98,6.98,1144,steam_market,2026-04-25T14:17:52.774470+00:00
M4A1-S | Electrum (Minimal Wear),USD,6.71,6.71,6.71,6.71,381,steam_market,2026-04-25T14:17:52.774470+00:00
FAMAS | Rapid Eye Movement (Field-Tested),USD,9.16,9.16,9.16,9.16,683,steam_market,2026-04-25T14:17:52.774470+00:00
AK-47 | Wintergreen (Field-Tested),USD,1.49,1.49,1.49,1.49,2574,steam_market,2026-04-25T14:17:52.774470+00:00
M4A4 | Desolate Space (Field-Tested),USD,19.66,19.66,19.66,19.66,412,steam_market,2026-04-25T14:17:52.774470+00:00
M4A1-S | Night Terror (Field-Tested),USD,0.95,0.95,0.95,0.95,11539,steam_market,2026-04-25T14:17:52.774470+00:00
AK-47 | Slate (Well-Worn),USD,5.95,5.95,5.95,5.95,1895,steam_market,2026-04-25T14:17:52.774470+00:00
M4A4 | Tooth Fairy (Field-Tested),USD,5.59,5.59,5.59,5.59,784,steam_market,2026-04-25T14:17:52.774470+00:00
AK-47 | Nightwish (Field-Tested),USD,98.29,98.29,98.29,98.29,397,steam_market,2026-04-25T14:17:52.774470+00:00
Galil AR | Green Apple (Factory New),USD,1.11,1.11,1.11,1.11,1777,steam_market,2026-04-25T14:17:54.690729+00:00
AK-47 | Breakthrough (Field-Tested),USD,5.9,5.9,5.9,5.9,394,steam_market,2026-04-25T14:17:54.690729+00:00
M4A1-S | Stratosphere (Minimal Wear),USD,26.91,26.91,26.91,26.91,250,steam_market,2026-04-25T14:17:54.690729+00:00
AK-47 | Aphrodite (Field-Tested),USD,30.85,30.85,30.85,30.85,616,steam_market,2026-04-25T14:17:54.690729+00:00
M4A1-S | Emphorosaur-S (Field-Tested),USD,0.73,0.73,0.73,0.73,7127,steam_market,2026-04-25T14:17:54.690729+00:00
AK-47 | Nightwish (Well-Worn),USD,94.19,94.19,94.19,94.19,192,steam_market,2026-04-25T14:17:54.690729+00:00
M4A1-S | Solitude (Minimal Wear),USD,7.26,7.26,7.26,7.26,1722,steam_market,2026-04-25T14:17:54.690729+00:00
AK-47 | Slate (Battle-Scarred),USD,5.86,5.86,5.86,5.86,1116,steam_market,2026-04-25T14:17:54.690729+00:00
M4A1-S | Decimator (Field-Tested),USD,18.8,18.8,18.8,18.8,424,steam_market,2026-04-25T14:17:54.690729+00:00
AK-47 | Midnight Laminate (Minimal Wear),USD,17.66,17.66,17.66,17.66,661,steam_market,2026-04-25T14:17:54.690729+00:00
AK-47 | The Outsiders (Field-Tested),USD,11.96,11.96,11.96,11.96,421,steam_market,2026-04-25T14:17:56.866123+00:00
AK-47 | Searing Rage (Well-Worn),USD,6.4,6.4,6.4,6.4,447,steam_market,2026-04-25T14:17:56.866123+00:00
AK-47 | Elite Build (Factory New),USD,16.73,16.73,16.73,16.73,316,steam_market,2026-04-25T14:17:56.866123+00:00
M4A4 | Temukau (Minimal Wear),USD,82.94,82.94,82.94,82.94,213,steam_market,2026-04-25T14:17:56.866123+00:00
AK-47 | Elite Build (Field-Tested),USD,3.07,3.07,3.07,3.07,2098,steam_market,2026-04-25T14:17:56.866123+00:00
StatTrak™ AK-47 | Crane Flight (Field-Tested),USD,68.81,68.81,68.81,68.81,62,steam_market,2026-04-25T14:17:56.866123+00:00
M4A1-S | Night Terror (Factory New),USD,4.37,4.37,4.37,4.37,583,steam_market,2026-04-25T14:17:56.866123+00:00
M4A1-S | Electrum (Field-Tested),USD,4.44,4.44,4.44,4.44,387,steam_market,2026-04-25T14:17:56.866123+00:00
AK-47 | Uncharted (Field-Tested),USD,0.97,0.97,0.97,0.97,4836,steam_market,2026-04-25T14:17:56.866123+00:00
M4A1-S | Liquidation (Field-Tested),USD,3.95,3.95,3.95,3.95,1400,steam_market,2026-04-25T14:17:56.866123+00:00
AK-47 | Wintergreen (Minimal Wear),USD,4.25,4.25,4.25,4.25,995,steam_market,2026-04-25T14:17:59.543745+00:00
AK-47 | Safety Net (Field-Tested),USD,3.95,3.95,3.95,3.95,783,steam_market,2026-04-25T14:17:59.543745+00:00
M4A1-S | Solitude (Battle-Scarred),USD,1.81,1.81,1.81,1.81,2752,steam_market,2026-04-25T14:17:59.543745+00:00
AK-47 | Searing Rage (Minimal Wear),USD,11.67,11.67,11.67,11.67,435,steam_market,2026-04-25T14:17:59.543745+00:00
FAMAS | Rapid Eye Movement (Minimal Wear),USD,11.84,11.84,11.84,11.84,290,steam_market,2026-04-25T14:17:59.543745+00:00
Galil AR | Galigator (Minimal Wear),USD,3.47,3.47,3.47,3.47,168,steam_market,2026-04-25T14:17:59.543745+00:00
AK-47 | Ice Coaled (Battle-Scarred),USD,6.09,6.09,6.09,6.09,521,steam_market,2026-04-25T14:17:59.543745+00:00
FAMAS | Rapid Eye Movement (Well-Worn),USD,8.66,8.66,8.66,8.66,572,steam_market,2026-04-25T14:17:59.543745+00:00
AK-47 | Frontside Misty (Field-Tested),USD,25.9,25.9,25.9,25.9,433,steam_market,2026-04-25T14:17:59.543745+00:00
Galil AR | Rainbow Spoon (Field-Tested),USD,53.26,53.26,53.26,53.26,196,steam_market,2026-04-25T14:17:59.543745+00:00
AK-47 | Nouveau Rouge (Battle-Scarred),USD,14.5,14.5,14.5,14.5,168,steam_market,2026-04-25T14:18:01.611749+00:00
M4A1-S | Night Terror (Minimal Wear),USD,1.38,1.38,1.38,1.38,1832,steam_market,2026-04-25T14:18:01.611749+00:00
AK-47 | Nouveau Rouge (Well-Worn),USD,14.8,14.8,14.8,14.8,263,steam_market,2026-04-25T14:18:01.611749+00:00
AK-47 | Elite Build (Well-Worn),USD,2.65,2.65,2.65,2.65,1990,steam_market,2026-04-25T14:18:01.611749+00:00
AK-47 | Searing Rage (Battle-Scarred),USD,5.84,5.84,5.84,5.84,413,steam_market,2026-04-25T14:18:01.611749+00:00
M4A4 | Converter (Minimal Wear),USD,1.69,1.69,1.69,1.69,544,steam_market,2026-04-25T14:18:01.611749+00:00
StatTrak™ M4A1-S | Night Terror (Field-Tested),USD,2.5,2.5,2.5,2.5,1166,steam_market,2026-04-25T14:18:01.611749+00:00
AK-47 | Crossfade (Field-Tested),USD,3.26,3.26,3.26,3.26,675,steam_market,2026-04-25T14:18:01.611749+00:00
AK-47 | The Oligarch (Battle-Scarred),USD,58.53,58.53,58.53,58.53,99,steam_market,2026-04-25T14:18:01.611749+00:00
AK-47 | Elite Build (Minimal Wear),USD,4.65,4.65,4.65,4.65,1177,steam_market,2026-04-25T14:18:01.611749+00:00
M4A1-S | Black Lotus (Battle-Scarred),USD,7.41,7.41,7.41,7.41,324,steam_market,2026-04-25T14:18:04.931552+00:00
AK-47 | Head Shot (Well-Worn),USD,46.81,46.81,46.81,46.81,193,steam_market,2026-04-25T14:18:04.931552+00:00
AK-47 | Crane Flight (Battle-Scarred),USD,23.95,23.95,23.95,23.95,143,steam_market,2026-04-25T14:18:04.931552+00:00
AK-47 | Inheritance (Battle-Scarred),USD,56.9,56.9,56.9,56.9,155,steam_market,2026-04-25T14:18:04.931552+00:00
AK-47 | Aphrodite (Battle-Scarred),USD,21.0,21.0,21.0,21.0,598,steam_market,2026-04-25T14:18:04.931552+00:00
M4A4 | Etch Lord (Field-Tested),USD,0.72,0.72,0.72,0.72,1396,steam_market,2026-04-25T14:18:04.931552+00:00
M4A4 | Neo-Noir (Well-Worn),USD,47.99,47.99,47.99,47.99,75,steam_market,2026-04-25T14:30:25.446399+00:00
AK-47 | Uncharted (Minimal Wear),USD,1.49,1.49,1.49,1.49,1886,steam_market,2026-04-25T14:18:04.931552+00:00
AK-47 | Head Shot (Battle-Scarred),USD,42.47,42.47,42.47,42.47,121,steam_market,2026-04-25T14:18:04.931552+00:00
FAMAS | Rapid Eye Movement (Battle-Scarred),USD,8.69,8.69,8.69,8.69,254,steam_market,2026-04-25T14:18:04.931552+00:00
AK-47 | Nouveau Rouge (Field-Tested),USD,19.85,19.85,19.85,19.85,353,steam_market,2026-04-25T14:18:07.818560+00:00
M4A1-S | Emphorosaur-S (Minimal Wear),USD,1.52,1.52,1.52,1.52,1710,steam_market,2026-04-25T14:18:07.818560+00:00
AK-47 | Breakthrough (Minimal Wear),USD,10.92,10.92,10.92,10.92,268,steam_market,2026-04-25T14:18:07.818560+00:00
M4A4 | Temukau (Battle-Scarred),USD,45.62,45.62,45.62,45.62,81,steam_market,2026-04-25T14:18:07.818560+00:00
M4A1-S | Wash me plz (Factory New),USD,0.89,0.89,0.89,0.89,2853,steam_market,2026-04-25T14:18:07.818560+00:00
M4A1-S | Nightmare (Battle-Scarred),USD,10.93,10.93,10.93,10.93,118,steam_market,2026-04-25T14:18:07.818560+00:00
M4A1-S | Liquidation (Minimal Wear),USD,7.02,7.02,7.02,7.02,1334,steam_market,2026-04-25T14:18:07.818560+00:00
