market_hash_name,currency,min_price,max_price,mean_price,median_price,quantity_sold,source,scraped_at
AK-47 | Slate (Minimal Wear),USD,11.12,11.12,11.12,11.12,1076,steam_market,2026-04-27T09:42:18.932594+00:00
AK-47 | Phantom Disruptor (Minimal Wear),USD,13.94,13.94,13.94,13.94,379,steam_market,2026-04-27T09:42:18.932629+00:00
AK-47 | Crane Flight (Field-Tested),USD,34.38,34.38,34.38,34.38,271,steam_market,2026-04-27T09:42:18.932635+00:00
M4A4 | Temukau (Field-Tested),USD,50.0,50.0,50.0,50.0,313,steam_market,2026-04-27T09:42:18.932641+00:00
M4A1-S | Black Lotus (Field-Tested),USD,7.42,7.42,7.42,7.42,2245,steam_market,2026-04-27T09:42:18.932648+00:00
AK-47 | Head Shot (Minimal Wear),USD,79.96,79.96,79.96,79.96,217,steam_market,2026-04-27T09:42:18.932653+00:00
M4A1-S | Emphorosaur-S (Factory New),USD,5.95,5.95,5.95,5.95,423,steam_market,2026-04-27T09:42:18.932658+00:00
AK-47 | Ice Coaled (Field-Tested),USD,6.72,6.72,6.72,6.72,2310,steam_market,2026-04-27T09:42:18.932662+00:00
AK-47 | Inheritance (Field-Tested),USD,63.07,63.07,63.07,63.07,567,steam_market,2026-04-27T09:42:18.932666+00:00
AK-47 | Searing Rage (Field-Tested),USD,8.07,8.07,8.07,8.07,978,steam_market,2026-04-27T09:42:18.932670+00:00
AK-47 | Slate (Field-Tested),USD,6.68,6.68,6.68,6.68,3098,steam_market,2026-04-27T09:42:21.173725+00:00
Galil AR | Green Apple (Minimal Wear),USD,0.18,0.18,0.18,0.18,9754,steam_market,2026-04-27T09:42:21.173756+00:00
AK-47 | Nightwish (Field-Tested),USD,92.0,92.0,92.0,92.0,407,steam_market,2026-04-27T09:42:21.173764+00:00
M4A1-S | Solitude (Field-Tested),USD,2.84,2.84,2.84,2.84,6629,steam_market,2026-04-27T09:42:21.173770+00:00
M4A1-S | Black Lotus (Minimal Wear),USD,11.9,11.9,11.9,11.9,861,steam_market,2026-04-27T09:42:21.173777+00:00
