"market_hash_name","currency","min_price","max_price","mean_price","median_price","quantity_sold"
"AK-47 | Orbit Mk01 (Minimal Wear)","USD",63.69,101.38,73.36,65.72,7
"AK-47 | Orbit Mk01 (Well-Worn)","USD",48.55,90.33,79.89,90.33,4
"Zeus x27 | Dragon Snore (Battle-Scarred)","USD",28.35,53.77,39.2,39.5,8
"Zeus x27 | Dragon Snore (Factory New)","USD",230.49,955.89,413.69,324.69,11
"Zeus x27 | Dragon Snore (Field-Tested)","USD",38.02,1944.7,109.57,54.81,70
"Zeus x27 | Dragon Snore (Minimal Wear)","USD",86.62,192.77,110.72,97.74,19
"Zeus x27 | Dragon Snore (Well-Worn)","USD",47.73,68.85,58.3,58.3,2
"Zeus x27 | Earth Mandala (Battle-Scarred)","USD",0.59,2.38,1.48,1.48,2
"Zeus x27 | Earth Mandala (Field-Tested)","USD",1.19,2.39,1.72,1.57,3
"Zeus x27 | Electric Blue (Battle-Scarred)","USD",0.05,4.85,0.47,0.1,38
"Zeus x27 | Electric Blue (Factory New)","USD",0.94,35.67,4.39,1.98,77
"Zeus x27 | Electric Blue (Field-Tested)","USD",0.06,26.28,1.23,0.1,180
"Zeus x27 | Electric Blue (Minimal Wear)","USD",0.19,29.87,4.71,2.21,99
"Zeus x27 | Electric Blue (Well-Worn)","USD",0.12,1.31,0.32,0.17,8
"Zeus x27 | Olympus (Battle-Scarred)","USD",4.04,53.77,6.82,4.7,52
"Zeus x27 | Olympus (Factory New)","USD",13.04,60.93,19.76,16.23,50
"Zeus x27 | Olympus (Field-Tested)","USD",4.54,159.59,6.43,5.23,518
"Zeus x27 | Olympus (Minimal Wear)","USD",6.97,768.3,20.59,8.66,145
"Zeus x27 | Olympus (Well-Worn)","USD",3.93,10.57,5.95,5.09,29
"Zeus x27 | Swamp DDPAT (Battle-Scarred)","USD",0.02,1.86,0.1,0.04,79
"Zeus x27 | Swamp DDPAT (Factory New)","USD",0.05,9.83,1.11,0.51,131
"Zeus x27 | Swamp DDPAT (Field-Tested)","USD",0.02,4.43,0.14,0.04,491
"Zeus x27 | Swamp DDPAT (Minimal Wear)","USD",0.04,6.34,0.67,0.11,276
"Zeus x27 | Swamp DDPAT (Well-Worn)","USD",0.04,0.43,0.17,0.05,25
"Zeus x27 | Tosai (Battle-Scarred)","USD",0.51,29.87,0.96,0.59,113
"Zeus x27 | Tosai (Factory New)","USD",3.8,46.6,8.95,6.57,118
"Zeus x27 | Tosai (Field-Tested)","USD",0.57,17.92,1.17,0.65,561
"Zeus x27 | Tosai (Well-Worn)","USD",0.54,1.37,0.79,0.63,48
"Zeus x27 | Tosai (Minimal Wear)","USD",1.02,23.66,2.95,1.29,206
"10 Year Birthday Sticker Capsule","USD",1.11,4.84,2.06,1.58,184
"1st Lieutenant Farlow | SWAT","USD",13.87,66.58,30.78,26.56,84
"2020 RMR Challengers","USD",0.31,7.34,1.35,0.5,433
"2020 RMR Contenders","USD",0.38,3.68,0.72,0.65,639
"2020 RMR Legends","USD",0.29,4.82,1.24,0.55,537
"2021 Community Sticker Capsule","USD",1.7,2.39,1.88,1.77,13
"3rd Commando Company | KSK","USD",17.15,978.6,36.31,26.18,227
"Aces High Pin","USD",10.04,25.61,13.16,11.15,16
"AK-47 | Panthera onca (Battle-Scarred)","USD",403.11,403.11,403.11,403.11,1
"AK-47 | Panthera onca (Factory New)","USD",1015.64,3222.6,1415.24,1282.92,16
"AK-47 | Panthera onca (Field-Tested)","USD",342.98,344.12,343.55,343.55,2
"AK-47 | Panthera onca (Minimal Wear)","USD",406.26,485.52,445.89,445.89,2
"AK-47 | Panthera onca (Well-Worn)","USD",476.75,476.75,476.75,476.75,1
"AK-47 | Phantom Disruptor (Battle-Scarred)","USD",7.16,59.74,15.87,10.75,13
"AK-47 | Aphrodite (Battle-Scarred)","USD",30.68,238.72,91.11,63.93,14
"AK-47 | Aphrodite (Factory New)","USD",371.77,1314.34,584.49,512.07,21
"AK-47 | Aphrodite (Field-Tested)","USD",34.65,793.72,97.68,53.11,39
"AK-47 | Aphrodite (Minimal Wear)","USD",71.57,1196.05,221.92,95.55,34
"AK-47 | Aphrodite (Well-Worn)","USD",32.25,166.09,56.72,38.24,28
"AK-47 | Aquamarine Revenge (Battle-Scarred)","USD",42.39,89.62,63.08,49.16,5
"AK-47 | Aquamarine Revenge (Factory New)","USD",306.03,1553.33,548.66,451.17,32
"AK-47 | Aquamarine Revenge (Field-Tested)","USD",48.46,292.13,77.77,64.71,63
"AK-47 | Aquamarine Revenge (Minimal Wear)","USD",85.8,4712.6,200.82,105.2,66
"AK-47 | Aquamarine Revenge (Well-Worn)","USD",42.42,100.82,55.23,46.6,15
"AK-47 | Asiimov (Battle-Scarred)","USD",41.57,119.47,55.24,48.97,14
"AK-47 | Asiimov (Factory New)","USD",668.03,1135.12,837.84,728.87,16
"AK-47 | Asiimov (Field-Tested)","USD",44.56,20109.64,148.28,53.76,234
"AK-47 | Asiimov (Minimal Wear)","USD",64.73,3845.68,122.92,74.83,123
"AK-47 | Asiimov (Well-Worn)","USD",45.7,53.76,49.22,48.42,16
"AK-47 | Baroque Purple (Battle-Scarred)","USD",6.43,19.17,9.54,8.6,18
"AK-47 | Baroque Purple (Factory New)","USD",133.83,1676.42,317.03,159.43,13
"AK-47 | Baroque Purple (Field-Tested)","USD",8.09,47.78,10.83,9.76,43
"AK-47 | Baroque Purple (Minimal Wear)","USD",18.95,47.78,25.0,20.62,18
"AK-47 | Baroque Purple (Well-Worn)","USD",6.61,17.8,9.5,8.2,12
"AK-47 | Black Laminate (Battle-Scarred)","USD",99.03,99.03,99.03,99.03,1
"AK-47 | Black Laminate (Factory New)","USD",224.64,465.57,288.18,238.97,5
"AK-47 | Black Laminate (Field-Tested)","USD",41.88,519.5,147.48,81.13,29
"AK-47 | Black Laminate (Minimal Wear)","USD",89.62,1471.8,283.03,189.49,16
"AK-47 | Black Laminate (Well-Worn)","USD",42.42,2838.28,471.44,100.25,9
"AK-47 | Bloodsport (Factory New)","USD",246.76,1194.87,314.01,277.34,105
